User_Id,User_Favorites_Anime
HokageEzio,
limpet76,
alk,
Re-Animated,"263, 302, 1, 136, 2001, 17389, 12031, 11061"
Triple_R,"9756, 15051, 77, 117, 849"
Stunfisk,"6547, 2236, 164, 2966, 1210"
benjireturns,
maufirf,"33489, 34599, 35078, 35838, 17549, 10165"
Nikk4479,
Yuri-Crusader,"25519, 30385, 667, 4535, 5914, 34834, 37786, 855, 20047, 26165"
XxAllen-KunxX,"1482, 3588, 149, 177, 1575"
Delete-This,
neuneu,"37521, 38000, 205, 37520, 35790, 23273, 22319, 23755, 6547, 9919"
Jakub_Babatinci,30484
Pintoleiro,
Stricken1297,"1, 9253, 4789, 14719, 2251"
shleepers,
Jirachiman,"885, 431, 121, 6675, 227, 47, 1, 785, 1000, 2501"
TankSuuzu,"11771, 31804, 5958, 4224, 2167, 889, 30276, 13655"
Taycobb,"34599, 5114, 2685, 6675, 23327, 17074, 4224, 874, 21843"
Umfuu,
thatasiangirll,"26243, 11013, 14713, 12461, 3457"
Jusson,"35120, 31964, 20583, 10620, 11757"
mastersam,"2904, 2001, 857, 395, 33337, 6675, 23327, 11741, 30276, 2251"
andrewisgod,"15335, 2001, 4181, 9253, 4224"
Jigsaw1591,
findy37564,"2951, 918, 9062, 10067, 6547"
Morastmops,"5114, 9969, 33, 4081, 1, 7785, 1535, 263, 10087, 10721"
Nikogami,"1735, 29803, 37430, 38000, 10165, 19815, 35838, 32615, 28223, 777"
Milijango,
CrazyLasagna,"30276, 33486, 31339, 10162, 32615, 31764, 7724, 2025, 14741, 33206"
yaya-bx,"104, 30736, 30, 813, 21843, 16498, 31478, 123, 237"
GravesCigar,"31240, 30831, 12445, 19815, 9253"
lolcheese6,
-Yuki-,"135, 243, 149, 482, 28"
jon9kittil352,"31964, 18689, 6702, 5114, 28851, 114, 30240, 20507"
Never_Know_Best,"227, 1, 875, 387, 164, 1029, 11061, 43, 26, 457"
beenmellow,
Kuraaiiya,"11061, 33, 14527, 9756, 21"
andrlch,
Ryuu_Hatake,"811, 1735, 2167, 9513, 9919"
Gidget,237
sunnyundies,
ladyflame_uk,"32801, 28121, 32887, 34176, 34566, 32995, 33926"
gcats,"8769, 3927, 918"
slydog1,
weeaboocleanser,1639
TotoAnhilation,10163
Rinkusu-Lynx,"19815, 6547"
Cha_Mango,
SweetAmandine,"14719, 13601, 245, 11111, 8915, 29803, 2025, 12445, 22147, 20583"
Evillordexdeath,"30, 47, 81, 308, 2150"
rimuruchwan,"9919, 45, 129, 5114"
Tech-nique,"5630, 13601, 23311, 11751, 9989, 1002, 12189, 31043, 15051, 24439"
TiagoKst,"1735, 22319, 20507, 19815, 8516"
tsuki_shiro,"6045, 19111"
TyandStuff,"1535, 5680, 7791"
Zitenshi,"32281, 12431, 28223, 34561, 14719, 31178"
Midwicket,"12189, 11771, 777, 889, 6547"
Shemyaza,"10087, 9253, 4896"
Drumans,
_heathclif_,
darkkugan,"1575, 13759, 8934, 2025, 1535, 31964"
Lonewhistler,22199
J4LIFE,
HalfSpeed,"31964, 11061, 16498, 10087"
ShH1,"37105, 12413, 35507, 5114, 30749, 31637, 28891"
Jgfresh1997,"4224, 13759, 6347, 6547"
vale979,"5118, 10805, 10080"
Peimun,"11061, 21, 4181, 457, 1889, 28171, 245, 9253, 889, 6045"
BaronBrixius,"5680, 9253, 34822, 24833, 30015, 6213, 32281, 34798, 31964, 9989"
highTrolla,
SaraPriscila,"13759, 1946, 552, 530, 21"
JammieDodger57,"22297, 9756, 5081, 38101, 35503"
BlerdGirl,"440, 1, 12531, 338, 486"
