User_Id,User_Favorites_Anime
shamrocknroll,"50, 874, 222, 66, 696"
Fuckerone,"1210, 30, 437, 33, 22135"
XXXNostalgia,"17074, 13125, 11741, 9253, 13601"
NightNLght,"2167, 2002, 667, 153, 237"
Threshould,"339, 35838, 31646, 2001, 12883, 22135, 1210, 3701, 849, 10357"
jane_lauren,"7054, 6746, 8408, 6045, 9656"
dbwvozz,"19815, 33731, 30831, 33489, 34855"
Jintaa,"23273, 27899, 813, 392, 11111, 205, 22319"
jbtb07,
iCica,
Br3X,"31043, 32281, 20507, 23283, 9253, 5081, 2904, 1735, 918, 37779"
ikemenkyatcha,"18507, 33899, 33023, 33654, 1575, 30205, 5355, 18689"
waterfalls,"1852, 7785, 820, 467, 329, 17549"
lamawalrus,"28851, 164, 30276, 16782, 2236, 457, 2966, 12189"
Joschi,"1210, 1575, 32, 339"
otaking97,"334, 1453, 106, 210, 696"
DestinySonata,"8769, 8676, 2963, 6547, 7791"
becacc,"5114, 20, 11061, 16498, 3470, 44, 18115, 14513, 23289, 1735"
Glacialis,"27989, 849, 13125, 12189"
SpicyCheeto22,
KoRnPortable,
DeadWitness,
valk_,"2002, 329, 57, 3167, 263"
littletwo,"44, 33, 2596, 1827, 820, 36517"
MykeJinX89,"30, 3588, 5114, 5681, 90, 96, 227, 85, 9253, 14719"
Allarielle,"5420, 19815, 153, 30296, 16524, 30831, 20507, 14833, 20457, 226"
peachhihi,"21877, 37171, 30484, 35849, 35248, 28851, 22535, 16498, 6347"
Imagen-Breaker,"14719, 223, 8937, 31964, 9756"
connoranastasio,
HiGHFLYiN9,"239, 52, 1535, 323, 1575"
Vladislaus,"2966, 4789, 11111, 11757, 5958, 457"
Horoislife,"10790, 35073, 21877, 5681, 32937, 17074, 17729, 24439, 5341, 2966"
Coffee-Shop-Girl,
KimaGeTeon,"145, 23283, 2904, 6746, 21995, 25013, 28851"
clorofilico,"30, 1, 1535, 392, 269, 31964, 19, 21, 339"
snowflower234,"232, 1887, 5114, 249, 1571, 9253, 849, 4898, 120, 1575"
Dr_Sephiroth,"30, 4181, 9756, 11741, 32979, 24765, 35557, 32949, 13601, 5114"
Crusader_8,"1088, 13601, 57, 10800, 14397, 31646, 82"
SolarChild,
MJ23,
tr1ckst3r,"21, 11617, 9253, 26055, 18893, 24, 2025, 3784, 8795, 16011"
Bayren,"22135, 12355, 11061, 6675, 37510, 1735"
Waldy565,"2605, 16498, 1372, 1"
hetebro,"22319, 23289, 19429, 5060"
Forever_A,"578, 2001, 5681, 387, 759, 392, 552, 30, 10800, 19"
fatmacman,"6547, 6347, 269, 59, 2798"
crunchyyogurt,"28825, 34798, 33206, 10165, 32995, 966, 31240, 11123, 9926"
misfitflower,"2251, 4081, 6702, 21, 7674"
MoSteel7,
balagergo,"30, 9253, 339, 35247, 6594, 437, 37991, 440, 457, 387"
Pseudo-Asian,"34822, 27775, 28851, 34599, 32281, 34712, 24765, 36649, 21557, 21273"
suzumehime,"1698, 4477, 150, 2581, 853"
animated-fangirl,"2251, 269, 11061, 25013, 28171, 30205"
Kanoko_Kirisaki,"10620, 11111, 16592, 30, 23273, 6547"
WinterKitty93,
HelloImUnique,
Sa6uto1,"21, 121, 26055, 14719, 11061"
Triku,"35180, 820, 387, 7785, 329, 13125, 17074, 457, 339, 437"
Elucidor,"2904, 4181, 9253, 9756, 17074, 2001, 13125"
ExoD,"34618, 34899"
SquirtleSquadCPT,
Alchemimaster3,"889, 849, 9289, 1, 5114, 38329"
Redix12,
OtakuDeidre,"530, 12815, 14751, 32664, 3841"
SableyeSam,"31478, 486, 6746, 3731, 889, 11111, 102, 36838, 19815"
MagnumDongz,"6922, 14741, 19815"
laga,
Zaraquiel99,"6746, 12189, 79, 9981, 154"
123derpabc,15583
UnwashedSocks,"5081, 5341, 9253, 9989, 4224"
Tenshi017,"35849, 33475, 11285, 33589, 34382, 34350, 11433, 34599, 6547, 2167, 7791"
Kadice,37447
Artemis121,
Zangetsu276,"17074, 28851, 11741, 28701, 19647, 11061, 21, 918, 5114"
HEAVYb51,
Kebenzis,
kimmiechan,"2167, 1495, 101, 721, 431"
RKO48,"38084, 39940"
MunchyCcow,"21, 918, 37965, 22789, 7674"
lokidemon09,"28121, 14833, 268, 1604"
TheNukedGamer,
Cowception,
Nanda_K,8769
EmeraldWolfChild,"5114, 21, 1482, 3588, 2034, 31964, 60"
kodorsk,"11061, 154"
parmy_john,
pokettomonsuta,"202, 2001, 1821, 977"
thedeviousfiles,"13125, 1535, 5081, 19, 3783, 4224, 5204"
Gumi_Worm,"35994, 28171, 16592, 9756, 34933, 37779"
packras,"777, 9253, 24833, 10087, 5680, 5114, 918, 37510, 33049, 1735"
Nea_,"10379, 5114, 1482, 28735, 11061"
Saiborg,"199, 1, 5114"
daemonblade1229,"153, 2001, 329, 2924, 269"
BoogaLV,"1535, 33, 22319, 19, 226"
LeviAckermanChan,
Serpentes,"15583, 1459, 2001, 8525, 10087, 1"
RevanFanatic,"19111, 32, 30831, 33049, 457"
Lady_Oum,"877, 5690, 19, 338, 13601"
KeziaKorbo,"889, 6746"
Salsk,"1430, 227, 2001, 164, 7785"
Kinato,"1535, 5258, 2001, 24, 2904"
WufenDerp,"31043, 29786, 17651, 27775, 28497"
Manganese,"11617, 6702, 13759, 33, 5507"
Arata-dono,
monkeydoinganime,"20899, 26055, 31933, 14719, 37991"
Shanye__West,
RaveAihara,
TARDIS04,
Colbane,
techstepman,"387, 918, 4181, 18679, 949"
-Keeper-,"5114, 1575, 2418, 2025"
soma-free,
UnknownWolf,11757
helge,"387, 486, 339"
Lolilnes,"34599, 32281, 10165, 12355"
hyperbunnygirl,"457, 19, 934, 11111, 2251"
nurfee,"38524, 4938, 10083, 31181, 6594, 237, 31043"
Su230,"11061, 2025, 9253, 10087"
Rylston,"35247, 2001, 35180, 28851, 33352, 37450, 33486, 37786, 34599, 31798"
TheLewdOtaku,"245, 857, 1901, 32542"
Grizzly578,"36946, 35839, 34599, 2001, 1, 11887, 12189, 32281, 4985, 15809"
YouFailHard,"853, 578, 199, 585, 6586"
zoper,"6213, 4224, 1, 16417"
twigtea,"18179, 16498, 20583, 18507, 379"
Illuminary,"530, 3572, 1698, 4081, 12149"
Elwin-Uchiha,"1535, 777"
EricMichaelis,"16498, 205, 2904, 1575, 31043"
pakrokok,"30, 2001, 227, 11741, 1575, 43"
usagi38kawaii,"3731, 21995, 20, 6702"
Silver-King,"19815, 14467, 2001, 37105, 34798, 13759, 34561, 30831, 6547, 34599, 23273, 24439, 1575"
PsyjiicOrder,"9756, 7311, 1210, 33"
YoureSenpai,
Drenlith,"1506, 5114, 16918, 951, 11061"
Dizs,
korinari,"17082, 17505, 235"
VoidRunner,"4059, 1723, 6351, 4181, 2167, 6547, 2025, 31973"
mrpool302010,
Kurokami18,"21085, 10153, 21, 9253, 19"
Number1AnimooFan,36259
noir_lait,"199, 164, 7785, 7588, 339"
MeMania01,"437, 19, 9253, 2904, 35062, 13601, 28223, 2025, 9513, 1535"
Mike_McFly,"9253, 24135, 12431, 12531, 26453, 6560, 437, 3345, 966, 235"
Kuroto,
KaulDeva,
Gaspar445,"3297, 962"
sareine,
Vargsvans,"35062, 123, 16592, 1195, 7054, 4224, 5530, 16009, 14713, 8425"
dongery,12067
EltonStryker,
1122mikan,"74, 5835, 1571, 28, 136, 21185"
Clone-Loli,"9756, 10495, 14829, 4224, 14741, 8937, 4654, 16524"
LucioSantos,"934, 1889, 918"
KittyNom,"16011, 9941, 7662, 2985, 11771, 7054, 28297, 32696, 32995"
Yugima,269
kouteiba,"14075, 17741, 21, 1689, 31758, 28851, 30503, 11061, 11887, 5114"
etoile23,"855, 232, 20, 2273, 90"
avadanekedavra,"6547, 16498, 4654, 13601, 31043"
faisaldante,"121, 4181, 269, 20, 934"
SupplySideJesus,
Blue_Phantasm,2001
13lueH0ur,
MiyuTheAwesome,"11061, 853, 7054, 907, 8525, 1509, 521, 7674, 5678"
dzoudy,
RMstan34,
Sasukekun527,"907, 2166, 31580, 17513"
